year,wages,precarity_age,pes1_age,pes2_age,pes3_age,pes4_age,pes5_age,pes6_age,pes7_age
1988,13223.433850803682,3.842948371259828,0.560499027229026,0.5414067893666803,0.5510793831432943,0.5916914084489696,0.9804813965105214,0.7413086831570487,0.868925741667818
1990,16243.407579696264,3.8575611306334623,0.5619055885757386,0.6266458547407298,0.5279590093719951,0.5572068347653624,0.9780311408674497,0.7172766309618414,0.8260104284033397
1992,18294.849783666847,3.9650100437263176,0.6159242578015132,0.6408545925500181,0.5514837481205973,0.5887608496214141,1.012320732017322,0.7434023415224575,0.8409276536776619
1994,19782.04034660168,4.109663290685054,0.6359371018954814,0.6707537645545508,0.5743163321554338,0.6315401963985809,1.0450618822231315,0.7635057127403304,0.9071510254129578
1996,23274.4611141754,3.9355506476972155,0.593846460424707,0.6160772622449009,0.5066848966492152,0.553047414492523,1.007304457804749,0.6783976843215657,0.8381626061638395
1998,25774.552909680147,3.8928792463858355,0.6023714032549026,0.6036687396505602,0.5045798251655813,0.5318504079329075,1.0152428050725553,0.6673030427363769,0.8200540156263474
2000,30805.0119953189,3.857629106699833,0.6031593951287314,0.6068614197922816,0.46940325861616006,0.5048529504680823,1.0161225910181362,0.6403393071679355,0.8015594860444715
2002,33674.081175223386,3.9405729486142254,0.6464375490837545,0.602913142223245,0.5000982426624357,0.5140400354989965,1.0434701427987052,0.6552536268968701,0.8279739417688788
2004,35534.699663916894,4.037459301115163,0.6822308530553087,0.6349655755575964,0.5366208217842989,0.5479612027039291,1.0680820614726483,0.6756912516804129,0.8634931786128845
2006,37405.67418661756,4.156249202501544,0.7171472512737952,0.6714057259515084,0.5867514751994969,0.5810779861571396,1.1013006014272928,0.7028445820442055,0.8813569032535101
2008,39669.71844218821,4.259926176769198,0.7437267691620013,0.6991114657069267,0.6203567554477923,0.6131519058796765,1.1383314234884365,0.7256932785725205,0.9042795583269986
2010,40354.1041309431,4.343684716991434,0.7666459136243291,0.7251771852221313,0.6390377668589091,0.6431551584099741,1.15192877080285,0.7348595501948502,0.9464813295401311
2012,42558.25342576173,4.480146126277606,0.8236475883604721,0.7847226020473924,0.6709296208608594,0.6913908005803592,1.2034252845558882,0.7677585418829493,0.9775752975979283
2014,43647.79286190794,4.624092012508295,0.8680370315877158,0.836044818262169,0.7203284022848613,0.7422496693629083,1.2463216291194157,0.8072239417444729,1.0259679574716578
2016,45073.983120204604,4.699455216948013,0.9397731610741752,0.8441733123955594,0.7194613820971879,0.7427006275191756,1.2570384282182403,0.7866652101449065,1.0188502969309632
